group,symbol,interval,strategy,mask_mode,cooldown_candles,max_sl_pct,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
catalog,SOLUSDT,240,MACD_12_26_hist,none,0,0.03,204,-400.536178,-308.022453,92.513725,24.57,289,118,80.138,99.463822,False,0.24
catalog,SOLUSDT,240,MACD_12_26_hist,none,50,0.03,204,-149.346788,-117.025062,32.321727,20.79,101,40,29.8694,350.653212,True,0.13
catalog,SOLUSDT,240,MACD_12_26_hist,one_shot,0,0.03,204,-250.261596,-184.974088,65.287508,29.41,204,74,50.7107,249.738404,True,0.18
catalog,SOLUSDT,240,MACD_12_26_hist,one_shot,50,0.03,204,-83.516614,-62.729633,20.786981,35.38,65,27,17.3617,416.483386,True,0.19
catalog,SOLUSDT,240,MACD_RSI14_50,none,0,0.03,244,-400.431346,-313.371941,87.059405,25.0,272,127,80.1266,99.568654,False,0.26
catalog,SOLUSDT,240,MACD_RSI14_50,none,50,0.03,244,-132.980382,-104.824582,28.1558,21.59,88,40,26.5961,367.019618,True,0.18
catalog,SOLUSDT,240,MACD_RSI14_50,one_shot,0,0.03,244,-293.238381,-226.003958,67.234423,26.19,210,93,58.9224,206.761619,True,0.24
catalog,SOLUSDT,240,MACD_RSI14_50,one_shot,50,0.03,244,-104.992087,-84.184576,20.807511,23.08,65,31,20.9984,395.007913,True,0.17
catalog,SOLUSDT,240,BB_20_25_breakout,none,0,0.03,67,-99.540989,-76.158015,23.382974,28.77,73,34,20.0057,400.459011,True,0.17
catalog,SOLUSDT,240,BB_20_25_breakout,none,50,0.03,67,-55.252932,-42.441222,12.81171,27.5,40,19,11.1588,444.747068,True,0.19
catalog,SOLUSDT,240,BB_20_25_breakout,one_shot,0,0.03,67,-88.935975,-67.801368,21.134607,28.79,66,31,17.8872,411.064025,True,0.18
catalog,SOLUSDT,240,BB_20_25_breakout,one_shot,50,0.03,67,-46.502985,-34.658983,11.844002,32.43,37,17,9.411,453.497015,True,0.22
catalog,SOLUSDT,240,BB_20_2_RSI14,none,0,0.03,132,-261.846536,-203.255313,58.591223,22.4,183,83,52.3693,238.153464,True,0.16
catalog,SOLUSDT,240,BB_20_2_RSI14,none,50,0.03,132,-95.730646,-77.169586,18.56106,24.14,58,32,19.1461,404.269354,True,0.15
catalog,SOLUSDT,240,BB_20_2_RSI14,one_shot,0,0.03,132,-188.712056,-148.058142,40.653914,23.62,127,62,37.7424,311.287944,True,0.23
catalog,SOLUSDT,240,BB_20_2_RSI14,one_shot,50,0.03,132,-85.637042,-69.634445,16.002597,26.0,50,29,17.1274,414.362958,True,0.2
catalog,SOLUSDT,240,ADX14_DI_20,none,0,0.03,243,-400.012393,-309.730443,90.28195,23.76,282,119,80.1525,99.987607,False,0.22
catalog,SOLUSDT,240,ADX14_DI_20,none,50,0.03,243,-136.773874,-104.782992,31.990882,26.0,100,41,27.8997,363.226126,True,0.22
catalog,SOLUSDT,240,ADX14_DI_20,one_shot,0,0.03,243,-278.865576,-203.060495,75.805081,30.38,237,81,56.9266,221.134424,True,0.35
catalog,SOLUSDT,240,ADX14_DI_20,one_shot,50,0.03,243,-104.686513,-77.85127,26.835244,26.19,84,27,22.2587,395.313487,True,0.26
catalog,SOLUSDT,240,STOCH14_cross,none,0,0.03,974,-401.400232,-301.168947,100.231285,14.7,313,77,80.28,98.599768,False,0.27
catalog,SOLUSDT,240,STOCH14_cross,none,50,0.03,974,-231.255629,-145.509313,85.746315,23.88,268,38,46.2511,268.744371,True,0.17
catalog,SOLUSDT,240,STOCH14_cross,one_shot,0,0.03,974,-400.223525,-275.744659,124.478866,19.54,389,65,80.0447,99.776475,False,0.23
catalog,SOLUSDT,240,STOCH14_cross,one_shot,50,0.03,974,-222.807662,-134.546769,88.260893,24.28,276,34,44.5615,277.192338,True,0.2
catalog,SOLUSDT,240,TS_13_34_200_14,none,0,0.03,156,-401.857155,-315.816464,86.040691,24.54,269,132,80.4112,98.142845,False,0.2
catalog,SOLUSDT,240,TS_13_34_200_14,none,50,0.03,156,-120.003607,-97.318004,22.685603,25.35,71,39,24.0007,379.996393,True,0.25
catalog,SOLUSDT,240,TS_13_34_200_14,one_shot,0,0.03,156,-175.50682,-133.296092,42.210728,33.33,132,62,35.1225,324.49318,True,0.21
catalog,SOLUSDT,240,TS_13_34_200_14,one_shot,50,0.03,156,-59.280468,-40.712845,18.567623,41.38,58,26,11.8561,440.719532,True,0.21
catalog,SOLUSDT,60,EMA_8_21,none,0,0.03,450,-403.235859,-291.498404,111.737455,33.24,349,123,80.7331,96.764141,False,0.54
catalog,SOLUSDT,60,EMA_8_21,none,50,0.03,450,-347.962267,-194.9573,153.004967,37.03,478,97,69.7275,152.037733,True,0.44
catalog,SOLUSDT,60,EMA_8_21,one_shot,0,0.03,450,-333.350659,-189.354788,143.995871,35.33,450,67,67.4269,166.649341,True,0.62
catalog,SOLUSDT,60,EMA_8_21,one_shot,50,0.03,450,-207.338778,-107.203311,100.135467,36.1,313,41,41.9477,292.661222,True,0.49
catalog,SOLUSDT,60,EMA_13_34_RSI14_55,none,0,0.03,769,-400.792551,-287.49489,113.297661,39.55,354,147,80.3408,99.207449,False,0.76
catalog,SOLUSDT,60,EMA_13_34_RSI14_55,none,50,0.03,769,-261.884432,-162.679508,99.204924,44.84,310,106,52.8144,238.115568,True,0.51
catalog,SOLUSDT,60,EMA_13_34_RSI14_55,one_shot,0,0.03,769,-382.650424,-238.38712,144.263304,42.79,451,139,77.2797,117.349576,True,0.68
catalog,SOLUSDT,60,EMA_13_34_RSI14_55,one_shot,50,0.03,769,-199.770787,-121.408252,78.362535,42.86,245,74,41.076,300.229213,True,0.52
catalog,SOLUSDT,60,RSI14_7030,none,0,0.03,625,-400.198575,-262.002393,138.196182,45.14,432,211,80.1196,99.801425,False,0.56
catalog,SOLUSDT,60,RSI14_7030,none,50,0.03,625,-163.293332,-99.548817,63.744515,46.23,199,98,32.9281,336.706668,True,0.5
catalog,SOLUSDT,60,RSI14_7030,one_shot,0,0.03,625,-352.930021,-222.043018,130.887004,45.97,409,196,70.7037,147.069979,True,0.52
catalog,SOLUSDT,60,RSI14_7030,one_shot,50,0.03,625,-153.761298,-91.604923,62.156375,45.88,194,94,31.0293,346.238702,True,0.42
catalog,SOLUSDT,60,MACD_12_26_hist,none,0,0.03,766,-400.834314,-282.038884,118.79543,29.38,371,102,80.1992,99.165686,False,0.66
catalog,SOLUSDT,60,MACD_12_26_hist,none,50,0.03,766,-400.982645,-226.609694,174.372952,32.29,545,82,80.2288,99.017355,False,0.57
catalog,SOLUSDT,60,MACD_12_26_hist,one_shot,0,0.03,766,-401.161917,-249.458749,151.703168,30.8,474,80,80.2324,98.838083,False,0.48
catalog,SOLUSDT,60,MACD_12_26_hist,one_shot,50,0.03,766,-347.69222,-203.416899,144.275321,31.71,451,67,69.7753,152.30778,True,0.49
catalog,SOLUSDT,60,MACD_RSI14_50,none,0,0.03,959,-402.414886,-281.107711,121.307175,32.45,379,120,80.5328,97.585114,False,0.58
catalog,SOLUSDT,60,MACD_RSI14_50,none,50,0.03,959,-402.966919,-246.139294,156.827626,34.69,490,95,80.643,97.033081,False,0.52
catalog,SOLUSDT,60,MACD_RSI14_50,one_shot,0,0.03,959,-400.781464,-272.186063,128.595401,30.35,402,86,80.207,99.218536,False,0.56
catalog,SOLUSDT,60,MACD_RSI14_50,one_shot,50,0.03,959,-320.275148,-193.910046,126.365103,34.43,395,70,64.5091,179.724852,True,0.47
catalog,SOLUSDT,60,BB_20_25_breakout,none,0,0.03,241,-243.216015,-170.230765,72.98525,40.35,228,108,48.8904,256.783985,True,0.5
catalog,SOLUSDT,60,BB_20_25_breakout,none,50,0.03,241,-170.31223,-125.200945,45.111285,38.3,141,72,34.3798,329.68777,True,0.47
catalog,SOLUSDT,60,BB_20_25_breakout,one_shot,0,0.03,241,-204.586851,-137.715317,66.871534,41.63,209,95,41.2017,295.413149,True,0.56
catalog,SOLUSDT,60,BB_20_25_breakout,one_shot,50,0.03,241,-146.871428,-103.050898,43.82053,40.88,137,64,29.7142,353.128572,True,0.4
catalog,SOLUSDT,60,BB_20_2_RSI14,none,0,0.03,583,-401.158161,-284.001727,117.156434,37.98,366,154,80.3454,98.841839,False,0.47
catalog,SOLUSDT,60,BB_20_2_RSI14,none,50,0.03,583,-256.59763,-184.897454,71.700177,37.05,224,92,51.5998,243.40237,True,0.41
catalog,SOLUSDT,60,BB_20_2_RSI14,one_shot,0,0.03,583,-401.603992,-282.604896,118.999096,37.63,372,151,80.4341,98.396008,False,0.45
catalog,SOLUSDT,60,BB_20_2_RSI14,one_shot,50,0.03,583,-263.465246,-193.690681,69.774565,35.78,218,86,52.9654,236.534754,True,0.54
catalog,SOLUSDT,60,ADX14_DI_20,none,0,0.03,973,-400.184141,-281.686115,118.498026,27.3,370,92,80.0368,99.815859,False,0.62
catalog,SOLUSDT,60,ADX14_DI_20,none,50,0.03,973,-400.456406,-230.755339,169.701067,28.11,530,62,80.0913,99.543594,False,0.54
catalog,SOLUSDT,60,ADX14_DI_20,one_shot,0,0.03,973,-400.87318,-235.391564,165.481617,27.85,517,61,80.1746,99.12682,False,0.58
catalog,SOLUSDT,60,ADX14_DI_20,one_shot,50,0.03,973,-400.414149,-229.782882,170.631267,24.95,533,48,80.0828,99.585851,False,0.55
catalog,SOLUSDT,60,STOCH14_cross,none,0,0.03,4015,-400.558451,-199.85924,200.699211,22.65,627,29,80.1692,99.441549,False,0.69
catalog,SOLUSDT,60,STOCH14_cross,none,50,0.03,4015,-400.286062,-145.875368,254.410694,24.78,795,22,80.1149,99.713938,False,0.68
catalog,SOLUSDT,60,STOCH14_cross,one_shot,0,0.03,4015,-400.285012,-161.514886,238.770126,26.01,746,23,80.1147,99.714988,False,0.61
catalog,SOLUSDT,60,STOCH14_cross,one_shot,50,0.03,4015,-401.034592,-149.149126,251.885466,24.65,787,21,80.2642,98.965408,False,0.65
catalog,SOLUSDT,60,TS_13_34_200_14,none,0,0.03,620,-400.881691,-287.252287,113.629405,40.56,355,162,80.3585,99.118309,False,0.58
catalog,SOLUSDT,60,TS_13_34_200_14,none,50,0.03,620,-258.102432,-175.214565,82.887867,42.08,259,110,52.1862,241.897568,True,0.55
catalog,SOLUSDT,60,TS_13_34_200_14,one_shot,0,0.03,620,-303.529736,-193.497609,110.032126,44.19,344,129,61.4289,196.470264,True,0.61
catalog,SOLUSDT,60,TS_13_34_200_14,one_shot,50,0.03,620,-172.956483,-112.794678,60.161805,42.55,188,75,35.2645,327.043517,True,0.49
catalog,ETHUSDT,240,EMA_8_21,none,0,0.03,121,-401.690156,-282.829265,118.86089,32.35,371,128,80.5663,98.309844,False,0.25
catalog,ETHUSDT,240,EMA_8_21,none,50,0.03,121,-122.37941,-93.548855,28.830555,28.89,90,37,25.3432,377.62059,True,0.17
catalog,ETHUSDT,240,EMA_8_21,one_shot,0,0.03,121,-138.770878,-100.060442,38.710436,32.23,121,36,27.8269,361.229122,True,0.18
catalog,ETHUSDT,240,EMA_8_21,one_shot,50,0.03,121,-60.291616,-41.435945,18.855671,33.9,59,17,12.0583,439.708384,True,0.26
catalog,ETHUSDT,240,EMA_13_34_RSI14_55,none,0,0.03,197,-402.087532,-298.586076,103.501456,33.44,323,145,81.0417,97.912468,False,0.22
catalog,ETHUSDT,240,EMA_13_34_RSI14_55,none,50,0.03,197,-99.21969,-74.872931,24.346759,34.21,76,36,21.3262,400.78031,True,0.17
catalog,ETHUSDT,240,EMA_13_34_RSI14_55,one_shot,0,0.03,197,-182.438716,-136.293329,46.145388,35.42,144,65,37.8938,317.561284,True,0.21
catalog,ETHUSDT,240,EMA_13_34_RSI14_55,one_shot,50,0.03,197,-55.298674,-37.344625,17.954049,48.21,56,26,12.5226,444.701326,True,0.27
catalog,ETHUSDT,240,RSI14_7030,none,0,0.03,141,-332.290085,-266.081277,66.208808,29.95,207,118,66.6212,167.709915,True,0.23
catalog,ETHUSDT,240,RSI14_7030,none,50,0.03,141,-93.879445,-78.1736,15.705845,24.49,49,32,18.8898,406.120555,True,0.2
catalog,ETHUSDT,240,RSI14_7030,one_shot,0,0.03,141,-170.524054,-135.632407,34.891647,31.19,109,63,34.1972,329.475946,True,0.27
catalog,ETHUSDT,240,RSI14_7030,one_shot,50,0.03,141,-87.905852,-73.173914,14.731939,23.91,46,31,17.6968,412.094148,True,0.23
catalog,ETHUSDT,240,MACD_12_26_hist,none,0,0.03,194,-402.759326,-281.044625,121.7147,27.89,380,106,80.5519,97.240674,False,0.28
catalog,ETHUSDT,240,MACD_12_26_hist,none,50,0.03,194,-146.309923,-113.617106,32.692816,20.59,102,38,29.262,353.690077,True,0.17
catalog,ETHUSDT,240,MACD_12_26_hist,one_shot,0,0.03,194,-226.141537,-164.362156,61.779381,26.42,193,54,45.4012,273.858463,True,0.16
catalog,ETHUSDT,240,MACD_12_26_hist,one_shot,50,0.03,194,-100.266629,-75.928679,24.33795,19.74,76,25,20.0533,399.733371,True,0.58
catalog,ETHUSDT,240,MACD_RSI14_50,none,0,0.03,246,-400.615532,-290.439693,110.175839,30.52,344,123,80.1231,99.384468,False,0.13
catalog,ETHUSDT,240,MACD_RSI14_50,none,50,0.03,246,-115.762215,-80.498026,35.264189,30.91,110,36,23.1524,384.237785,True,0.08
catalog,ETHUSDT,240,MACD_RSI14_50,one_shot,0,0.03,246,-232.363462,-171.830064,60.533398,31.22,189,68,46.5455,267.636538,True,0.09
catalog,ETHUSDT,240,MACD_RSI14_50,one_shot,50,0.03,246,-91.617226,-68.564067,23.05316,27.78,72,26,18.3234,408.382774,True,0.08
catalog,ETHUSDT,240,BB_20_25_breakout,none,0,0.03,66,-89.047947,-65.035689,24.012258,30.67,75,30,19.1327,410.952053,True,0.08
catalog,ETHUSDT,240,BB_20_25_breakout,none,50,0.03,66,-43.48285,-28.761695,14.721155,34.78,46,16,10.1664,456.51715,True,0.1
catalog,ETHUSDT,240,BB_20_25_breakout,one_shot,0,0.03,66,-69.415923,-49.91516,19.500763,34.43,61,25,14.9071,430.584077,True,0.18
catalog,ETHUSDT,240,BB_20_25_breakout,one_shot,50,0.03,66,-43.065717,-31.25686,11.808857,37.84,37,16,9.6997,456.934283,True,0.2
catalog,ETHUSDT,240,BB_20_2_RSI14,none,0,0.03,139,-239.401532,-184.655156,54.746376,25.73,171,77,48.939,260.598468,True,0.12
catalog,ETHUSDT,240,BB_20_2_RSI14,none,50,0.03,139,-82.934871,-60.548301,22.38657,31.43,70,28,18.2813,417.065129,True,0.15
catalog,ETHUSDT,240,BB_20_2_RSI14,one_shot,0,0.03,139,-180.364822,-140.709782,39.655041,27.42,124,60,36.8143,319.635178,True,0.19
catalog,ETHUSDT,240,BB_20_2_RSI14,one_shot,50,0.03,139,-77.725427,-59.522359,18.203068,29.82,57,26,16.2367,422.274573,True,0.16
catalog,ETHUSDT,240,ADX14_DI_20,none,0,0.03,244,-400.124519,-275.790261,124.334259,29.64,388,104,80.0249,99.875481,False,0.21
catalog,ETHUSDT,240,ADX14_DI_20,none,50,0.03,244,-151.395853,-102.718068,48.677785,26.32,152,33,30.2792,348.604147,True,0.17
catalog,ETHUSDT,240,ADX14_DI_20,one_shot,0,0.03,244,-212.539324,-140.169534,72.369791,29.2,226,46,42.9309,287.460676,True,0.16
catalog,ETHUSDT,240,ADX14_DI_20,one_shot,50,0.03,244,-103.45841,-62.510356,40.948054,29.69,128,18,20.6917,396.54159,True,0.15
catalog,ETHUSDT,240,STOCH14_cross,none,0,0.03,954,-400.558937,-220.666262,179.892675,24.02,562,44,80.1652,99.441063,False,0.23
catalog,ETHUSDT,240,STOCH14_cross,none,50,0.03,954,-313.018539,-166.120805,146.897735,23.97,459,28,62.7041,186.981461,True,0.22
catalog,ETHUSDT,240,STOCH14_cross,one_shot,0,0.03,954,-401.703935,-198.147043,203.556892,26.57,636,41,80.3936,98.296065,False,0.19
catalog,ETHUSDT,240,STOCH14_cross,one_shot,50,0.03,954,-278.268422,-152.189552,126.078871,23.6,394,28,55.7727,221.731578,True,0.2
catalog,ETHUSDT,240,TS_13_34_200_14,none,0,0.03,170,-401.445213,-302.703572,98.741641,32.14,308,149,80.9686,98.554787,False,0.23
catalog,ETHUSDT,240,TS_13_34_200_14,none,50,0.03,170,-94.00211,-71.256889,22.745222,32.39,71,35,20.302,405.99789,True,0.17
catalog,ETHUSDT,240,TS_13_34_200_14,one_shot,0,0.03,170,-150.7104,-112.545915,38.164485,34.45,119,58,31.6672,349.2896,True,0.18
catalog,ETHUSDT,240,TS_13_34_200_14,one_shot,50,0.03,170,-50.267954,-33.262387,17.005567,39.62,53,23,12.0173,449.732046,True,0.18
catalog,ETHUSDT,60,EMA_8_21,none,0,0.03,481,-400.61696,-230.261212,170.355748,28.95,532,68,80.1302,99.38304,False,0.54
catalog,ETHUSDT,60,EMA_8_21,none,50,0.03,481,-363.5059,-190.919748,172.586152,29.87,539,58,72.7106,136.4941,True,0.58
catalog,ETHUSDT,60,EMA_8_21,one_shot,0,0.03,481,-299.108541,-145.119171,153.989369,28.48,481,36,60.4552,200.891459,True,0.43
catalog,ETHUSDT,60,EMA_8_21,one_shot,50,0.03,481,-229.9442,-98.669179,131.275021,28.29,410,23,46.3402,270.0558,True,0.52
catalog,ETHUSDT,60,EMA_13_34_RSI14_55,none,0,0.03,802,-400.98594,-250.149167,150.836773,36.73,471,123,80.2919,99.01406,False,0.47
catalog,ETHUSDT,60,EMA_13_34_RSI14_55,none,50,0.03,802,-242.51481,-140.343687,102.171124,36.68,319,72,48.9466,257.48519,True,0.53
catalog,ETHUSDT,60,EMA_13_34_RSI14_55,one_shot,0,0.03,802,-301.517515,-181.153549,120.363966,33.78,376,75,61.8752,198.482485,True,0.68
catalog,ETHUSDT,60,EMA_13_34_RSI14_55,one_shot,50,0.03,802,-175.368116,-91.129164,84.238952,34.22,263,45,36.3621,324.631884,True,0.37
catalog,ETHUSDT,60,RSI14_7030,none,0,0.03,624,-403.218545,-260.539184,142.679361,45.96,446,207,80.7358,96.781455,False,0.4
