symbol,interval,strategy,max_drawdown_pct_full_run
ETHUSDT,240,STOCH14_EMA8_21,84.6662
ETHUSDT,240,STOCH14_cross,83.9139
ETHUSDT,240,STOCH5_cross,82.8531
ETHUSDT,240,TS_13_34_100_14,89.1259
ETHUSDT,240,TS_13_34_200_14,87.3649
ETHUSDT,240,TS_8_21_100_14,86.9427
ETHUSDT,240,TS_8_21_50_14,84.4409
ETHUSDT,60,ADX14_DI_20,82.9347
ETHUSDT,60,ADX14_DI_25,80.9229
ETHUSDT,60,ADX14_EMA13_34,81.1883
ETHUSDT,60,ADX14_EMA21_50,82.3612
ETHUSDT,60,ADX14_EMA8_21,80.22
ETHUSDT,60,BB_10_2_RSI14,85.9456
ETHUSDT,60,BB_10_2_breakout,81.5059
ETHUSDT,60,BB_20_25_ADX20,81.6546
ETHUSDT,60,BB_20_25_ADX25,86.7142
ETHUSDT,60,BB_20_25_EMA100,83.9075
ETHUSDT,60,BB_20_25_EMA200,87.1962
ETHUSDT,60,BB_20_25_EMA50,81.6381
ETHUSDT,60,BB_20_25_MACD,81.6546
ETHUSDT,60,BB_20_25_RSI14,81.6546
ETHUSDT,60,BB_20_25_RSI14_55,81.6546
ETHUSDT,60,BB_20_25_SQ,85.8646
ETHUSDT,60,BB_20_25_VOL12,82.4314
ETHUSDT,60,BB_20_25_breakout,81.6546
ETHUSDT,60,BB_20_25_revert,83.3772
ETHUSDT,60,BB_20_2_ADX20,81.8257
ETHUSDT,60,BB_20_2_EMA100,86.1958
ETHUSDT,60,BB_20_2_EMA200,81.8616
ETHUSDT,60,BB_20_2_EMA50,84.2993
ETHUSDT,60,BB_20_2_MACD,82.1732
ETHUSDT,60,BB_20_2_RSI14,80.6776
ETHUSDT,60,BB_20_2_RSI14_55,80.6776
ETHUSDT,60,BB_20_2_RSI7_50,80.6776
ETHUSDT,60,BB_20_2_SQ,84.5235
ETHUSDT,60,BB_20_2_VOL12,84.6147
ETHUSDT,60,BB_20_2_breakout,80.6776
ETHUSDT,60,BB_20_2_mid,80.7657
ETHUSDT,60,BB_20_2_revert,87.4076
ETHUSDT,60,EMA3_13_34_100,86.5517
ETHUSDT,60,EMA3_13_50_200,86.7218
ETHUSDT,60,EMA3_21_50_200,86.6608
ETHUSDT,60,EMA3_8_21_100,83.8075
ETHUSDT,60,EMA3_8_21_50,83.8028
ETHUSDT,60,EMA3_8_34_100,84.8857
ETHUSDT,60,EMA_13_34,84.082
ETHUSDT,60,EMA_13_34_RSI14_55,82.1678
ETHUSDT,60,EMA_13_34_RSI7_55,83.545
ETHUSDT,60,EMA_13_34_VOL12,86.1452
ETHUSDT,60,EMA_13_50,82.1752
ETHUSDT,60,EMA_21_100,89.3409
ETHUSDT,60,EMA_21_50,82.1826
ETHUSDT,60,EMA_21_50_RSI14_55,82.3018
ETHUSDT,60,EMA_34_100,88.9059
ETHUSDT,60,EMA_50_200,88.2889
ETHUSDT,60,EMA_8_21,85.387
ETHUSDT,60,EMA_8_21_RSI14_55,81.6011
ETHUSDT,60,EMA_8_21_RSI14_60,80.9309
ETHUSDT,60,EMA_8_21_VOL12,81.2584
ETHUSDT,60,EMA_8_21_VOL15,82.9229
ETHUSDT,60,EMA_8_34,82.9932
ETHUSDT,60,EMA_8_34_RSI14_60,87.2679
ETHUSDT,60,EMA_BB_ADX_13_34,81.7683
ETHUSDT,60,EMA_BB_ADX_8_21,81.3654
ETHUSDT,60,MACD_12_26_hist,82.6855
ETHUSDT,60,MACD_12_26_sig,82.6855
ETHUSDT,60,MACD_8_21_hist,80.0847
ETHUSDT,60,MACD_8_21_sig,80.0847
ETHUSDT,60,MACD_RSI14_50,81.0782
ETHUSDT,60,MACD_RSI14_55,80.6975
ETHUSDT,60,MACD_RSI7_50,80.0109
ETHUSDT,60,MACD_RSI7_55,80.4644
ETHUSDT,60,RSI14_6535,81.5186
ETHUSDT,60,RSI14_7030,86.1076
ETHUSDT,60,RSI14_trend50,82.2379
ETHUSDT,60,RSI21_7030,84.4022
ETHUSDT,60,RSI7_6535,83.6405
ETHUSDT,60,RSI7_trend50,82.9504
ETHUSDT,60,STOCH14_EMA13_34,85.9404
ETHUSDT,60,STOCH14_EMA8_21,87.4883
ETHUSDT,60,STOCH14_cross,81.1755
ETHUSDT,60,STOCH5_cross,81.006
ETHUSDT,60,TS_13_34_100_14,85.0323
ETHUSDT,60,TS_13_34_200_14,85.7267
ETHUSDT,60,TS_8_21_100_14,84.0788
ETHUSDT,60,TS_8_21_50_14,82.515
BTCUSDT,240,ADX14_DI_20,84.0495
BTCUSDT,240,ADX14_DI_25,84.2572
BTCUSDT,240,ADX14_EMA13_34,84.1975
BTCUSDT,240,ADX14_EMA21_50,86.7291
BTCUSDT,240,ADX14_EMA8_21,81.811
BTCUSDT,240,BB_10_2_RSI14,80.5446
BTCUSDT,240,BB_10_2_breakout,85.319
BTCUSDT,240,BB_20_25_ADX20,84.48
BTCUSDT,240,BB_20_25_ADX25,82.3781
BTCUSDT,240,BB_20_25_EMA100,83.3425
BTCUSDT,240,BB_20_25_EMA200,86.2762
