symbol,interval,strategy,activate_pct,trail_pct,no_trail,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
XRPUSDT,240,BB_20_2_RSI14_55,10.0,,True,0.03,0,one_shot,135,225.574377,247.830896,22.256519,17.65,68,12,56,390.832366,-165.257989,32.569364,-2.951036,8.308,24.76,45,0,22,1,19.5634,725.574377,True,0.08
XRPUSDT,240,BB_20_2_RSI7_50,10.0,,True,0.03,0,one_shot,135,225.574377,247.830896,22.256519,17.65,68,12,56,390.832366,-165.257989,32.569364,-2.951036,8.308,24.76,45,0,22,1,19.5634,725.574377,True,0.09
XRPUSDT,240,BB_20_2_SQ,10.0,,True,0.03,0,one_shot,81,198.273898,212.175043,13.901146,9.52,42,4,38,316.693446,-118.419549,79.173362,-3.116304,3.787,34.1,35,0,7,0,20.0087,698.273898,True,0.08
XRPUSDT,240,BB_20_2_VOL12,10.0,,True,0.03,0,one_shot,127,195.091623,216.685852,21.594229,13.64,66,9,57,369.360159,-174.268536,41.040018,-3.057343,6.9332,23.62,49,0,16,1,25.3905,695.091623,True,0.09
XRPUSDT,240,BB_20_2_breakout,10.0,,True,0.03,0,one_shot,135,225.574377,247.830896,22.256519,17.65,68,12,56,390.832366,-165.257989,32.569364,-2.951036,8.308,24.76,45,0,22,1,19.5634,725.574377,True,0.09
XRPUSDT,240,BB_20_2_mid,10.0,,True,0.03,0,one_shot,303,41.625133,138.822054,97.19692,17.82,303,54,249,457.04811,-415.422976,8.463854,-1.668365,16.4659,6.42,57,0,245,1,24.9714,541.625133,True,0.08
XRPUSDT,240,BB_20_2_revert,10.0,,True,0.03,0,one_shot,135,-83.32036,-48.108982,35.211378,21.82,110,24,86,202.24464,-285.565,8.42686,-3.320523,28.2661,9.76,86,0,24,0,17.4151,416.67964,True,0.09
XRPUSDT,240,DONCHIAN_20,10.0,,True,0.03,0,one_shot,45,273.045374,287.940138,14.894763,17.78,45,8,37,377.623483,-104.578109,47.202935,-2.826435,5.6496,30.44,27,0,18,0,15.5367,773.045374,True,0.08
XRPUSDT,240,DONCHIAN_PULLBACK_20,10.0,,True,0.03,0,one_shot,32,242.870705,253.320807,10.450102,12.9,31,4,27,332.542205,-89.6715,83.135551,-3.321167,3.8414,29.35,27,0,4,0,18.7344,742.870705,True,0.1
XRPUSDT,240,EMA3_13_34_100,10.0,,True,0.03,0,one_shot,56,156.504166,172.290583,15.786418,4.17,48,2,46,306.87328,-150.369115,153.43664,-3.268894,2.086,30.54,44,0,3,1,24.265,656.504166,True,0.09
