group,symbol,interval,strategy,cooldown_candles,max_sl_pct,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
lorentzian,XRPUSDT,240,LORENTZIAN_default,50,0.03,-110.439252,-83.871041,26.568211,26.51,83,34,22.7342,389.560748,True,0.08
lorentzian,XRPUSDT,240,LORENTZIAN_raw,0,0.03,-401.836653,-280.909407,120.927247,27.25,378,115,80.3673,98.163347,False,0.17
lorentzian,XRPUSDT,240,LORENTZIAN_raw,5,0.03,-401.959883,-293.24489,108.714993,22.06,340,108,80.392,98.040117,False,0.12
lorentzian,XRPUSDT,240,LORENTZIAN_raw,10,0.03,-366.56099,-264.21025,102.35074,22.19,320,96,73.3122,133.43901,True,0.08
lorentzian,XRPUSDT,240,LORENTZIAN_raw,20,0.03,-233.664359,-165.855612,67.808747,24.06,212,66,46.7329,266.335641,True,0.09
lorentzian,XRPUSDT,240,LORENTZIAN_raw,50,0.03,-140.842225,-97.344999,43.497225,22.06,136,33,28.1684,359.157775,True,0.07
lorentzian,XRPUSDT,60,LORENTZIAN_default,0,0.03,-400.652581,-286.370911,114.28167,31.93,357,109,80.2357,99.347419,False,4.81
lorentzian,XRPUSDT,60,LORENTZIAN_default,5,0.03,-402.954672,-271.019056,131.935616,33.74,412,102,80.6937,97.045328,False,0.31
lorentzian,XRPUSDT,60,LORENTZIAN_default,10,0.03,-400.841601,-268.947107,131.894494,33.01,412,105,80.2734,99.158399,False,0.22
lorentzian,XRPUSDT,60,LORENTZIAN_default,20,0.03,-401.278286,-267.161828,134.116459,34.61,419,110,80.3602,98.721714,False,0.27
lorentzian,XRPUSDT,60,LORENTZIAN_default,50,0.03,-315.782398,-204.341371,111.441027,34.48,348,84,63.6654,184.217602,True,0.21
lorentzian,XRPUSDT,60,LORENTZIAN_raw,0,0.03,-401.977614,-240.997729,160.979885,20.68,503,48,80.4465,98.022386,False,0.28
lorentzian,XRPUSDT,60,LORENTZIAN_raw,5,0.03,-400.316556,-217.597378,182.719178,24.17,571,52,80.1152,99.683444,False,0.33
lorentzian,XRPUSDT,60,LORENTZIAN_raw,10,0.03,-400.397226,-216.719629,183.677597,23.69,574,50,80.1313,99.602774,False,0.27
lorentzian,XRPUSDT,60,LORENTZIAN_raw,20,0.03,-400.273041,-205.092827,195.180213,23.61,610,43,80.1065,99.726959,False,0.34
lorentzian,XRPUSDT,60,LORENTZIAN_raw,50,0.03,-400.250393,-199.310345,200.940048,21.97,628,33,80.102,99.749607,False,0.28
lorentzian,DOGEUSDT,240,LORENTZIAN_default,0,0.03,-401.299346,-314.89956,86.399786,15.93,270,117,80.2599,98.700654,False,1.1
lorentzian,DOGEUSDT,240,LORENTZIAN_default,5,0.03,-400.592641,-314.82481,85.767831,19.4,268,121,80.1185,99.407359,False,0.11
lorentzian,DOGEUSDT,240,LORENTZIAN_default,10,0.03,-402.702772,-311.786071,90.916701,15.85,284,119,80.5406,97.297228,False,0.1
lorentzian,DOGEUSDT,240,LORENTZIAN_default,20,0.03,-274.174195,-214.635756,59.538439,18.82,186,81,54.8348,225.825805,True,0.1
lorentzian,DOGEUSDT,240,LORENTZIAN_default,50,0.03,-117.744442,-91.164466,26.579976,25.3,83,38,23.5489,382.255558,True,0.07
