symbol,interval,strategy,max_sl_pct,net_pnl,win_rate,n_trades,max_drawdown_pct,final_equity,survived
ETHUSDT,60,STOCH14_cross,0.05,-402.382463,20.78,871,80.5244,97.617537,False
ETHUSDT,60,STOCH14_cross,0.08,-400.136929,20.66,847,80.0764,99.863071,False
ETHUSDT,60,STOCH14_cross,0.12,-402.395238,20.83,869,80.527,97.604762,False
ETHUSDT,60,TS_13_34_200_14,0.03,-402.866323,39.61,414,80.6497,97.133677,False
ETHUSDT,60,TS_13_34_200_14,0.05,-379.931328,45.8,369,76.4929,120.068672,True
ETHUSDT,60,TS_13_34_200_14,0.08,-327.340497,47.26,328,66.6042,172.659503,True
ETHUSDT,60,TS_13_34_200_14,0.12,-342.897852,47.08,325,69.6256,157.102148,True
BTCUSDT,240,EMA_8_21,0.03,-376.382001,33.14,350,75.3892,123.617999,True
BTCUSDT,240,EMA_8_21,0.05,-284.814655,37.36,265,57.1347,215.185345,True
BTCUSDT,240,EMA_8_21,0.08,-272.975007,40.08,237,54.7762,227.024993,True
BTCUSDT,240,EMA_8_21,0.12,-269.878468,39.74,229,54.1594,230.121532,True
BTCUSDT,240,EMA_13_34_RSI14_55,0.03,-278.787942,35.77,246,56.5128,221.212058,True
BTCUSDT,240,EMA_13_34_RSI14_55,0.05,-216.810191,44.39,196,44.5947,283.189809,True
BTCUSDT,240,EMA_13_34_RSI14_55,0.08,-208.933116,46.07,178,43.0536,291.066884,True
BTCUSDT,240,EMA_13_34_RSI14_55,0.12,-207.784127,46.29,175,42.8288,292.215873,True
BTCUSDT,240,RSI14_7030,0.03,-251.112984,33.89,180,50.7473,248.887016,True
BTCUSDT,240,RSI14_7030,0.05,-218.526856,44.96,129,44.3217,281.473144,True
BTCUSDT,240,RSI14_7030,0.08,-191.600246,50.51,99,38.9711,308.399754,True
BTCUSDT,240,RSI14_7030,0.12,-159.369956,53.75,80,32.5665,340.630044,True
BTCUSDT,240,MACD_12_26_hist,0.03,-401.699564,30.08,389,80.3399,98.300436,False
BTCUSDT,240,MACD_12_26_hist,0.05,-405.205838,31.36,354,81.0412,94.794162,False
BTCUSDT,240,MACD_12_26_hist,0.08,-402.541225,31.87,342,80.5082,97.458775,False
BTCUSDT,240,MACD_12_26_hist,0.12,-401.785298,32.34,334,80.3571,98.214702,False
BTCUSDT,240,MACD_RSI14_50,0.03,-347.165003,32.63,331,70.0185,152.834997,True
BTCUSDT,240,MACD_RSI14_50,0.05,-309.505547,36.1,277,62.6309,190.494453,True
BTCUSDT,240,MACD_RSI14_50,0.08,-313.814619,37.04,270,63.4762,186.185381,True
BTCUSDT,240,MACD_RSI14_50,0.12,-311.645097,37.17,269,63.0506,188.354903,True
BTCUSDT,240,BB_20_25_breakout,0.03,-89.900174,35.14,74,18.0694,410.099826,True
BTCUSDT,240,BB_20_25_breakout,0.05,-104.036324,39.73,73,20.8936,395.963676,True
BTCUSDT,240,BB_20_25_breakout,0.08,-106.78794,44.29,70,21.4433,393.21206,True
BTCUSDT,240,BB_20_25_breakout,0.12,-129.169979,44.29,70,25.9148,370.830021,True
BTCUSDT,240,BB_20_2_RSI14,0.03,-177.921374,33.33,141,35.8587,322.078626,True
BTCUSDT,240,BB_20_2_RSI14,0.05,-163.590786,41.67,132,33.0047,336.409214,True
BTCUSDT,240,BB_20_2_RSI14,0.08,-178.215964,43.75,128,35.9173,321.784036,True
BTCUSDT,240,BB_20_2_RSI14,0.12,-187.366858,43.2,125,37.7397,312.633142,True
BTCUSDT,240,ADX14_DI_20,0.03,-400.129644,26.27,373,80.2478,99.870356,False
BTCUSDT,240,ADX14_DI_20,0.05,-400.605823,27.53,356,80.342,99.394177,False
BTCUSDT,240,ADX14_DI_20,0.08,-401.408153,27.68,354,80.5007,98.591847,False
BTCUSDT,240,ADX14_DI_20,0.12,-398.979956,27.64,351,80.0204,101.020044,True
BTCUSDT,240,STOCH14_cross,0.03,-400.360592,24.92,614,80.1166,99.639408,False
BTCUSDT,240,STOCH14_cross,0.05,-402.665406,25.0,608,80.5765,97.334594,False
BTCUSDT,240,STOCH14_cross,0.08,-401.038945,24.96,609,80.2519,98.961055,False
BTCUSDT,240,STOCH14_cross,0.12,-400.414138,24.92,606,80.1272,99.585862,False
BTCUSDT,240,TS_13_34_200_14,0.03,-228.531232,37.5,208,46.902,271.468768,True
BTCUSDT,240,TS_13_34_200_14,0.05,-186.063406,44.94,158,38.9899,313.936594,True
BTCUSDT,240,TS_13_34_200_14,0.08,-163.9035,50.38,131,34.6834,336.0965,True
BTCUSDT,240,TS_13_34_200_14,0.12,-175.674484,50.39,127,36.971,324.325516,True
BTCUSDT,60,EMA_8_21,0.03,-400.288485,28.07,659,80.2905,99.711515,False
BTCUSDT,60,EMA_8_21,0.05,-371.492819,29.07,633,74.7092,128.507181,True
BTCUSDT,60,EMA_8_21,0.08,-365.232377,29.01,624,73.4717,134.767623,True
BTCUSDT,60,EMA_8_21,0.12,-362.951926,28.99,621,73.021,137.048074,True
BTCUSDT,60,EMA_13_34_RSI14_55,0.03,-301.75602,34.84,419,61.4241,198.24398,True
BTCUSDT,60,EMA_13_34_RSI14_55,0.05,-288.320426,36.04,394,58.9172,211.679574,True
BTCUSDT,60,EMA_13_34_RSI14_55,0.08,-289.794485,36.5,389,59.2567,210.205515,True
BTCUSDT,60,EMA_13_34_RSI14_55,0.12,-291.617293,36.6,388,59.6182,208.382707,True
BTCUSDT,60,RSI14_7030,0.03,-232.78869,51.78,394,48.5381,267.21131,True
BTCUSDT,60,RSI14_7030,0.05,-184.095232,56.63,309,39.976,315.904768,True
BTCUSDT,60,RSI14_7030,0.08,-181.350742,57.51,273,39.5179,318.649258,True
BTCUSDT,60,RSI14_7030,0.12,-147.349683,57.55,245,32.91,352.650317,True
BTCUSDT,60,MACD_12_26_hist,0.03,-402.571695,29.67,738,80.7231,97.428305,False
BTCUSDT,60,MACD_12_26_hist,0.05,-400.440003,30.17,716,80.3013,99.559997,False
BTCUSDT,60,MACD_12_26_hist,0.08,-400.243881,30.56,733,80.2625,99.756119,False
BTCUSDT,60,MACD_12_26_hist,0.12,-400.153804,30.48,725,80.2516,99.846196,False
BTCUSDT,60,MACD_RSI14_50,0.03,-378.082996,32.4,716,75.7893,121.917004,True
BTCUSDT,60,MACD_RSI14_50,0.05,-355.736913,33.48,693,71.3312,144.263087,True
BTCUSDT,60,MACD_RSI14_50,0.08,-344.33951,33.48,687,69.0574,155.66049,True
BTCUSDT,60,MACD_RSI14_50,0.12,-343.369652,33.48,687,68.8639,156.630348,True
BTCUSDT,60,BB_20_25_breakout,0.03,-151.823283,40.49,205,32.0932,348.176717,True
BTCUSDT,60,BB_20_25_breakout,0.05,-151.912944,43.46,191,32.6763,348.087056,True
BTCUSDT,60,BB_20_25_breakout,0.08,-171.741755,43.68,190,36.6065,328.258245,True
BTCUSDT,60,BB_20_25_breakout,0.12,-176.747719,44.15,188,37.5987,323.252281,True
BTCUSDT,60,BB_20_2_RSI14,0.03,-248.407913,35.24,332,51.7156,251.592087,True
BTCUSDT,60,BB_20_2_RSI14,0.05,-236.994697,36.59,317,50.0089,263.005303,True
BTCUSDT,60,BB_20_2_RSI14,0.08,-252.411469,36.39,316,53.0824,247.588531,True
BTCUSDT,60,BB_20_2_RSI14,0.12,-257.666296,36.39,316,54.13,242.333704,True
BTCUSDT,60,ADX14_DI_20,0.03,-400.605109,24.03,770,80.236,99.394891,False
BTCUSDT,60,ADX14_DI_20,0.05,-400.74691,24.35,772,80.2642,99.25309,False
BTCUSDT,60,ADX14_DI_20,0.08,-401.377002,24.52,783,80.3894,98.622998,False
BTCUSDT,60,ADX14_DI_20,0.12,-401.766686,24.55,782,80.4669,98.233314,False
BTCUSDT,60,STOCH14_cross,0.03,-400.380495,20.02,959,80.2143,99.619505,False
BTCUSDT,60,STOCH14_cross,0.05,-400.084748,19.94,958,80.1556,99.915252,False
BTCUSDT,60,STOCH14_cross,0.08,-400.23462,19.79,960,80.1853,99.76538,False
BTCUSDT,60,STOCH14_cross,0.12,-400.23462,19.79,960,80.1853,99.76538,False
BTCUSDT,60,TS_13_34_200_14,0.03,-217.735284,41.51,318,45.0095,282.264716,True
BTCUSDT,60,TS_13_34_200_14,0.05,-196.133342,45.13,277,40.6971,303.866658,True
BTCUSDT,60,TS_13_34_200_14,0.08,-207.859804,45.63,263,43.0167,292.140196,True
BTCUSDT,60,TS_13_34_200_14,0.12,-211.211996,45.56,259,43.6799,288.788004,True
XRPUSDT,240,EMA_8_21,0.03,-400.120743,27.6,337,80.0241,99.879257,False
XRPUSDT,240,EMA_8_21,0.05,-403.807135,29.18,305,80.7614,96.192865,False
XRPUSDT,240,EMA_8_21,0.08,-406.747639,28.67,279,81.3495,93.252361,False
XRPUSDT,240,EMA_8_21,0.12,-404.964947,28.24,262,80.993,95.035053,False
XRPUSDT,240,EMA_13_34_RSI14_55,0.03,-403.199157,26.81,317,80.6923,96.800843,False
XRPUSDT,240,EMA_13_34_RSI14_55,0.05,-404.287102,28.14,263,80.9093,95.712898,False
XRPUSDT,240,EMA_13_34_RSI14_55,0.08,-403.228694,31.06,235,80.6982,96.771306,False
XRPUSDT,240,EMA_13_34_RSI14_55,0.12,-411.006468,30.52,213,82.2495,88.993532,False
XRPUSDT,240,RSI14_7030,0.03,-403.129634,22.48,258,80.6741,96.870366,False
XRPUSDT,240,RSI14_7030,0.05,-403.250163,27.64,199,80.7719,96.749837,False
