symbol,interval,strategy,activate_pct,trail_pct,cell,is_baseline_cell,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
DOGEUSDT,240,DONCHIAN_PULLBACK_55,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,14,-16.573055,-12.088267,4.484789,35.71,14,5,9,4.338195,-20.91125,0.867639,-2.323472,72.8108,3.0,6,8,0,0,3.7836,483.426945,True,0.1
DOGEUSDT,240,DONCHIAN_PULLBACK_55,0.03,0.02,a0.03_t0.02,True,0.03,0,one_shot,14,-16.964367,-12.480166,4.484201,35.71,14,5,9,3.946883,-20.91125,0.789377,-2.323472,74.6413,3.0,6,8,0,0,3.8615,483.035633,True,0.14
DOGEUSDT,240,DONCHIAN_PULLBACK_55,0.03,0.04,a0.03_t0.04,False,0.03,0,one_shot,14,-15.648286,-11.162109,4.486178,28.57,14,4,10,5.880532,-21.528819,1.470133,-2.152882,59.4224,4.57,6,8,0,0,3.5996,484.351714,True,0.15
DOGEUSDT,240,DONCHIAN_PULLBACK_55,0.06,0.01,a0.06_t0.01,False,0.03,0,one_shot,14,-18.722084,-14.238906,4.483178,21.43,14,3,11,8.829166,-27.55125,2.943055,-2.504659,45.9763,4.36,8,6,0,0,4.2113,481.277916,True,0.21
DOGEUSDT,240,DONCHIAN_PULLBACK_55,0.06,0.02,a0.06_t0.02,False,0.03,0,one_shot,14,-18.722084,-14.238906,4.483178,21.43,14,3,11,8.829166,-27.55125,2.943055,-2.504659,45.9763,4.36,8,6,0,0,4.2113,481.277916,True,0.15
DOGEUSDT,240,DONCHIAN_PULLBACK_55,0.06,0.04,a0.06_t0.04,False,0.03,0,one_shot,14,-17.624145,-13.143101,4.481043,21.43,14,3,11,9.927105,-27.55125,3.309035,-2.504659,43.0821,4.86,8,6,0,0,3.9928,482.375855,True,0.1
DOGEUSDT,60,EMA_8_21,0.01,0.01,a0.01_t0.01,False,0.03,0,one_shot,449,-400.882705,-266.149156,134.73355,11.16,421,47,374,11.563217,-412.445922,0.246026,-1.102797,81.76,3.24,46,269,106,0,80.1883,99.117295,False,0.26
DOGEUSDT,60,EMA_8_21,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,449,-400.530145,-257.448678,143.081467,15.88,447,71,376,77.075742,-477.605888,1.085574,-1.270228,53.9191,5.63,47,283,117,0,80.2733,99.469855,False,0.27
DOGEUSDT,60,EMA_8_21,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,449,-331.179863,-187.498725,143.681138,23.16,449,104,345,283.862628,-615.042491,2.729448,-1.782732,39.5093,11.76,47,218,183,1,66.6302,168.820137,True,0.33
DOGEUSDT,60,EMA_8_21,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,449,-400.09348,-265.999168,134.094312,30.07,419,126,293,166.433111,-566.526591,1.320898,-1.933538,59.4124,8.18,78,157,184,0,80.1628,99.90652,False,0.34
