symbol,interval,strategy,leverage,cooldown_candles,n_trades,final_equity,min_equity_full_run,survives_to_holdout_end,net_pnl_full_run,max_drawdown_pct_full_run,n_valid_validation_months,n_validation_months_target_met,frac_validation_target_met,best_deviation_pct_validation,median_deviation_pct_validation,worst_deviation_pct_validation,net_pnl_validation,max_drawdown_pct_validation,last_trade_exit_time,source
SOLUSDT,60,BB_20_25_breakout,1,0,399.0,98.994544,98.99454370760134,False,-401.005456,80.2964,12,0,0.0,51.61290322580645,73.76344086021504,100.0,-146.32110215089324,80.29637382036196,2025-12-18 17:00:00+00:00,measured
SOLUSDT,60,BB_20_25_breakout,2,0,181.0,96.721276,96.72127563059547,False,-403.278724,80.841,12,0,0.0,100.0,100.0,100.0,0.0,80.84104219589919,2024-12-16 09:00:00+00:00,measured
SOLUSDT,60,BB_20_25_breakout,3,0,94.0,91.255579,91.2555791430351,False,-408.744421,82.0099,12,0,0.0,100.0,100.0,100.0,0.0,82.00987349283464,2024-07-10 12:00:00+00:00,measured
SOLUSDT,60,BB_20_25_breakout,5,0,54.0,96.400566,96.40056593106948,False,-403.599434,81.1751,12,0,0.0,100.0,100.0,100.0,0.0,81.17505406563298,2024-04-27 13:00:00+00:00,measured
SOLUSDT,60,BB_20_25_breakout,10,5,22.0,97.912683,97.91268348719927,False,-402.087317,81.3208,12,0,0.0,100.0,100.0,100.0,0.0,81.32075215530675,2024-03-19 02:00:00+00:00,measured
SOLUSDT,60,BB_20_25_breakout,10,20,19.0,76.714848,76.71484825959482,False,-423.285152,85.3648,12,0,0.0,100.0,100.0,100.0,0.0,85.36475956972063,2024-03-15 02:00:00+00:00,measured
SOLUSDT,60,BB_20_2_RSI14,1,0,369.0,99.376167,99.3761666862311,False,-400.623833,80.2392,12,0,0.0,100.0,100.0,100.0,0.0,80.23919021889724,2024-12-13 01:00:00+00:00,measured
SOLUSDT,60,BB_20_2_RSI14,2,0,163.0,96.595773,96.59577285709872,False,-403.404227,80.902,12,0,0.0,100.0,100.0,100.0,0.0,80.9020164451251,2024-06-10 15:00:00+00:00,measured
SOLUSDT,60,BB_20_2_RSI14,3,0,103.0,99.833974,99.83397357096464,False,-400.166026,80.3741,12,0,0.0,100.0,100.0,100.0,0.0,80.37413184472919,2024-04-15 04:00:00+00:00,measured
SOLUSDT,60,BB_20_2_RSI14,5,0,55.0,95.117351,94.09658340294806,False,-404.882649,81.7102,12,0,0.0,100.0,100.0,100.0,0.0,81.51180274750344,2024-03-11 00:00:00+00:00,measured
SOLUSDT,60,BB_20_2_RSI14,10,5,35.0,78.026639,78.02663917761828,False,-421.973361,85.2488,12,0,0.0,100.0,100.0,100.0,0.0,85.24882821937459,2024-03-01 07:00:00+00:00,measured
SOLUSDT,60,BB_20_2_RSI14,10,20,26.0,75.454512,75.45451162428628,False,-424.545488,85.7351,12,0,0.0,100.0,100.0,100.0,0.0,85.73509670127741,2024-02-29 11:00:00+00:00,measured
SOLUSDT,60,ADX14_DI_20,1,0,363.0,99.096797,99.09679733765984,False,-400.903203,80.1806,12,0,0.0,100.0,100.0,100.0,0.0,80.18064053246803,2024-04-15 12:00:00+00:00,measured
SOLUSDT,60,ADX14_DI_20,2,0,194.0,99.724788,99.72478780545543,False,-400.275212,80.055,12,0,0.0,100.0,100.0,100.0,0.0,80.05504243890891,2024-03-14 22:00:00+00:00,measured
SOLUSDT,60,ADX14_DI_20,3,0,150.0,90.490029,90.4900287854851,False,-409.509971,81.902,12,0,0.0,100.0,100.0,100.0,0.0,81.90199424290297,2024-03-05 16:00:00+00:00,measured
SOLUSDT,60,ADX14_DI_20,5,0,116.0,92.608459,92.60845927700984,False,-407.391541,81.4783,12,0,0.0,100.0,100.0,100.0,0.0,81.47830814459803,2024-02-28 17:00:00+00:00,measured
SOLUSDT,60,ADX14_DI_20,10,5,74.0,92.356262,92.35626163900292,False,-407.643738,81.5287,12,0,0.0,100.0,100.0,100.0,0.0,81.52874767219942,2024-02-17 21:00:00+00:00,measured
SOLUSDT,60,ADX14_DI_20,10,20,66.0,81.00277,81.00276951655394,False,-418.99723,83.7994,12,0,0.0,100.0,100.0,100.0,0.0,83.79944609668921,2024-02-17 21:00:00+00:00,measured
SOLUSDT,60,STOCH14_cross,1,0,619.0,99.860542,99.8605423772774,False,-400.139458,80.0856,12,0,0.0,100.0,100.0,100.0,0.0,80.08564501406593,2024-03-20 15:00:00+00:00,measured
SOLUSDT,60,STOCH14_cross,2,0,406.0,98.855665,98.85566480670849,False,-401.144335,80.3429,12,0,0.0,100.0,100.0,100.0,0.0,80.34288199515734,2024-03-04 10:00:00+00:00,measured
SOLUSDT,60,STOCH14_cross,3,0,297.0,98.419553,98.41955275605687,False,-401.580447,80.4859,12,0,0.0,100.0,100.0,100.0,0.0,80.48586786639147,2024-02-23 21:00:00+00:00,measured
SOLUSDT,60,STOCH14_cross,5,0,167.0,96.418888,96.41888847748959,False,-403.581112,80.9918,12,0,0.0,100.0,100.0,100.0,0.0,80.99184936579762,2024-02-11 19:00:00+00:00,measured
SOLUSDT,60,STOCH14_cross,10,5,75.0,94.111216,94.11121618984163,False,-405.888784,81.7082,12,0,0.0,100.0,100.0,100.0,0.0,81.70823503119975,2024-02-02 12:00:00+00:00,measured
SOLUSDT,60,STOCH14_cross,10,20,96.0,98.501959,98.5019592457603,False,-401.498041,80.8548,12,0,0.0,100.0,100.0,100.0,0.0,80.85483579496797,2024-02-06 23:00:00+00:00,measured
SOLUSDT,60,TS_13_34_200_14,1,0,360.0,99.446131,99.44613078096057,False,-400.553869,80.3028,12,0,0.0,100.0,100.0,100.0,0.0,80.30282713568455,2024-08-04 18:00:00+00:00,measured
SOLUSDT,60,TS_13_34_200_14,2,0,156.0,96.687269,96.68726929880745,False,-403.312731,81.0324,12,0,0.0,100.0,100.0,100.0,0.0,81.03242512926256,2024-04-09 03:00:00+00:00,measured
SOLUSDT,60,TS_13_34_200_14,3,0,107.0,97.541026,97.54102612357974,False,-402.458974,81.0462,12,0,0.0,100.0,100.0,100.0,0.0,81.04621003794537,2024-03-16 18:00:00+00:00,measured
SOLUSDT,60,TS_13_34_200_14,5,0,64.0,96.922488,96.92248838271627,False,-403.077512,81.5166,12,0,0.0,100.0,100.0,100.0,0.0,81.5165957580832,2024-03-05 19:00:00+00:00,measured
SOLUSDT,60,TS_13_34_200_14,10,5,42.0,73.516887,73.51688699798763,False,-426.483113,86.5444,12,0,0.0,100.0,100.0,100.0,0.0,86.5443568023443,2024-02-29 21:00:00+00:00,measured
SOLUSDT,60,TS_13_34_200_14,10,20,30.0,96.425798,96.42579811438145,False,-403.574202,82.3514,12,0,0.0,100.0,100.0,100.0,0.0,82.35138636226783,2024-02-28 17:00:00+00:00,measured
ETHUSDT,240,EMA_8_21,1,0,374.0,98.839154,98.83915384616319,False,-401.160846,80.6053,12,0,0.0,100.0,100.0,100.0,0.0,80.60528644762948,2024-12-23 20:00:00+00:00,measured
ETHUSDT,240,EMA_8_21,2,0,220.0,98.256505,98.25650464364685,False,-401.743495,81.0768,12,0,0.0,100.0,100.0,100.0,0.0,81.07679178223037,2024-08-08 12:00:00+00:00,measured
