group,symbol,interval,strategy,mask_mode,cooldown_candles,max_sl_pct,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,sum_wins,n_wins,sum_losses,n_losses,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
donchian,DOGEUSDT,240,DONCHIAN_PULLBACK_55,none,0,0.03,14,-403.247776,-319.724094,83.523682,18.39,261,124,49.850423,48,-453.0982,213,2.1,124,137,0,0,80.7946,96.752224,False,0.3
donchian,DOGEUSDT,240,DONCHIAN_PULLBACK_55,one_shot,0,0.03,14,-16.964367,-12.480166,4.484201,35.71,14,6,3.946883,5,-20.91125,9,3.0,6,8,0,0,3.8615,483.035633,True,0.27
harness_control,DOGEUSDT,240,EMA_8_21,none,0,0.03,101,-403.157333,-307.867038,95.290296,17.79,298,115,47.363054,53,-450.520388,245,1.38,115,165,18,0,80.6315,96.842667,False,0.31
harness_control,DOGEUSDT,240,EMA_8_21,one_shot,0,0.03,101,-136.236897,-103.874007,32.36289,27.72,101,41,28.258557,28,-164.495454,73,3.51,41,49,11,0,27.2474,363.763103,True,0.2
harness_control,DOGEUSDT,240,BB_20_25_breakout,none,0,0.03,64,-111.609554,-84.406089,27.203465,16.47,85,34,14.35726,14,-125.966813,71,1.6,34,51,0,0,22.3351,388.390446,True,0.26
harness_control,DOGEUSDT,240,BB_20_25_breakout,one_shot,0,0.03,64,-83.500039,-63.660176,19.839863,19.35,62,27,13.034936,12,-96.534975,50,1.76,27,35,0,0,16.7142,416.499961,True,0.21
donchian,DOGEUSDT,60,DONCHIAN_20,none,0,0.03,202,-402.137456,-309.09469,93.042767,28.87,291,124,87.405852,84,-489.543308,207,4.58,124,141,26,0,80.4275,97.862544,False,0.83
donchian,DOGEUSDT,60,DONCHIAN_20,one_shot,0,0.03,202,-247.294021,-182.639708,64.654313,33.17,202,76,88.984864,67,-336.278885,135,14.56,76,89,37,0,50.027,252.705979,True,0.47
donchian,DOGEUSDT,60,DONCHIAN_55,none,0,0.03,69,-402.045776,-309.747078,92.298698,30.8,289,142,98.951549,89,-500.997325,200,5.05,142,144,3,0,80.4211,97.954224,False,0.3
donchian,DOGEUSDT,60,DONCHIAN_55,one_shot,0,0.03,69,-56.024649,-33.971797,22.052852,43.48,69,28,39.743404,30,-95.768053,39,12.28,28,41,0,0,11.7259,443.975351,True,0.21
donchian,DOGEUSDT,60,DONCHIAN_PULLBACK_20,none,0,0.03,131,-401.224548,-314.583173,86.641375,31.37,271,138,81.703581,85,-482.928129,186,7.34,138,126,7,0,80.3261,98.775452,False,0.27
donchian,DOGEUSDT,60,DONCHIAN_PULLBACK_20,one_shot,0,0.03,131,-148.877418,-106.975654,41.901764,38.93,131,62,69.531941,51,-218.409359,80,11.82,62,61,8,0,30.0641,351.122582,True,0.25
donchian,DOGEUSDT,60,DONCHIAN_PULLBACK_55,none,0,0.03,54,-400.389986,-303.908208,96.481778,31.79,302,143,103.018443,96,-503.408429,206,4.59,143,159,0,0,80.1651,99.610014,False,0.37
donchian,DOGEUSDT,60,DONCHIAN_PULLBACK_55,one_shot,0,0.03,54,-53.969814,-36.697692,17.272123,44.44,54,27,36.880508,24,-90.850323,30,14.69,27,27,0,0,12.042,446.030186,True,0.29
harness_control,DOGEUSDT,60,EMA_8_21,none,0,0.03,449,-400.557997,-287.639025,112.918972,29.46,353,123,112.418596,104,-512.976593,249,4.36,123,173,57,0,80.2789,99.442003,False,0.41
harness_control,DOGEUSDT,60,EMA_8_21,one_shot,0,0.03,449,-400.61881,-267.790751,132.82806,29.88,415,77,160.79424,124,-561.41305,291,8.63,77,154,184,0,80.2909,99.38119,False,0.48
harness_control,DOGEUSDT,60,BB_20_25_breakout,none,0,0.03,270,-314.020124,-228.858816,85.161308,34.96,266,116,116.975793,93,-430.995917,173,11.11,116,134,16,0,63.1166,185.979876,True,0.3
harness_control,DOGEUSDT,60,BB_20_25_breakout,one_shot,0,0.03,270,-293.950755,-218.702694,75.248061,33.19,235,106,101.858577,78,-395.809332,157,11.73,106,114,15,0,58.9997,206.049245,True,0.3
